@RELATION ImageDataset

@ATTRIBUTE hue NUMERIC
@ATTRIBUTE saturation NUMERIC
@ATTRIBUTE value NUMERIC
@ATTRIBUTE area NUMERIC
@ATTRIBUTE class {wholegrain, groats, broken}

@DATA
22, 94, 171, 4773, wholegrain
22, 137, 140, 5304, wholegrain
20, 109, 159, 6636, wholegrain
24, 73, 172, 7257, wholegrain
22, 142, 153, 5548, wholegrain
22, 121, 167, 4480, wholegrain
19, 114, 159, 5508, wholegrain
21, 129, 158, 7400, wholegrain
20, 139, 147, 6726, wholegrain
20, 85, 132, 4488, wholegrain
23, 113, 199, 4794, wholegrain
19, 114, 146, 5280, wholegrain
20, 125, 155, 4370, wholegrain
21, 146, 145, 5740, wholegrain
88, 50, 72, 25137, wholegrain
20, 114, 148, 6480, wholegrain
19, 127, 155, 6132, wholegrain
18, 114, 152, 6355, wholegrain
22, 122, 150, 5720, wholegrain
22, 79, 148, 5355, wholegrain
21, 136, 167, 5850, wholegrain
19, 133, 159, 6435, wholegrain
18, 141, 132, 4920, wholegrain
20, 139, 130, 4750, wholegrain
20, 124, 152, 7844, wholegrain
20, 128, 163, 6192, wholegrain
20, 105, 178, 6794, wholegrain
22, 125, 167, 5548, wholegrain
22, 126, 125, 3213, wholegrain
22, 128, 147, 4235, wholegrain
23, 127, 153, 6232, wholegrain
19, 118, 153, 5220, wholegrain
22, 139, 145, 5920, wholegrain
20, 125, 175, 3200, wholegrain
19, 155, 135, 4464, wholegrain
22, 127, 171, 7640, wholegrain
21, 135, 153, 5460, wholegrain
20, 115, 158, 6031, wholegrain
22, 115, 162, 4636, wholegrain
23, 120, 136, 5000, wholegrain
19, 112, 148, 4760, wholegrain
23, 109, 152, 6762, wholegrain
23, 123, 151, 7014, wholegrain
21, 131, 160, 5633, wholegrain
29, 61, 134, 5510, wholegrain
20, 125, 174, 9576, wholegrain
21, 105, 133, 6191, wholegrain
21, 121, 147, 10318, wholegrain
22, 137, 136, 8900, wholegrain
20, 145, 149, 6981, wholegrain
